tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2021-0416,Rome Masters,Clay,64,M,20210510,300,104745,2,,Rafael Nadal,L,185,ESP,34.9349760438,104925,1,,Novak Djokovic,R,188,SRB,33.9685147159,7-5 1-6 6-3,3,F,169,3,1,96,72,47,11,14,5,8,5,4,95,63,41,15,14,3,6,3,9630,1,11463
2021-0422,Cincinnati Masters,Hard,64,M,20210816,298,100644,3,,Alexander Zverev,R,198,GER,24.3230663929,126774,2,,Stefanos Tsitsipas,R,193,GRE,23.0116358658,6-4 3-6 7-6(4),3,SF,161,15,4,97,73,52,8,15,4,8,10,4,113,71,52,16,16,1,5,5,7263,3,8350
2021-0422,Cincinnati Masters,Hard,64,M,20210816,299,126094,4,,Andrey Rublev,R,188,RUS,23.8220396988,106421,1,,Daniil Medvedev,R,198,RUS,25.5112936345,2-6 6-3 6-3,3,SF,141,2,5,85,60,44,8,13,4,7,8,3,100,54,36,22,13,6,10,7,6005,2,10620
2021-0422,Cincinnati Masters,Hard,64,M,20210816,300,100644,3,,Alexander Zverev,R,198,GER,24.3230663929,126094,4,,Andrey Rublev,R,188,RUS,23.8220396988,6-2 6-3,3,F,59,6,4,39,28,26,5,8,0,1,11,0,55,39,26,2,9,5,10,5,7263,7,6005
2021-1536,Madrid Masters,Clay,64,M,20210503,297,100644,5,,Alexander Zverev,R,198,GER,24.0355920602,104745,1,,Rafael Nadal,L,185,ESP,34.9158110883,6-4 6-4,3,QF,104,4,5,55,34,28,9,10,1,2,0,3,66,42,26,12,10,3,6,6,6125,2,9810
2021-1536,Madrid Masters,Clay,64,M,20210503,299,100644,5,,Alexander Zverev,R,198,GER,24.0355920602,106233,3,,Dominic Thiem,R,185,AUT,27.6632443532,6-3 6-4,3,SF,97,6,2,56,37,29,10,10,1,2,1,3,70,37,23,18,9,8,11,6,6125,4,8365
2021-1536,Madrid Masters,Clay,64,M,20210503,300,100644,5,,Alexander Zverev,R,198,GER,24.0355920602,126610,8,,Matteo Berrettini,R,196,ITA,25.0568104038,6-7(8) 6-4 6-3,3,F,160,5,7,95,66,50,16,15,2,3,7,1,110,74,53,16,16,4,8,6,6125,10,3493
2021-520,Roland Garros,Clay,128,G,20210531,213,126610,9,,Matteo Berrettini,R,196,ITA,25.1334702259,103819,8,,Roger Federer,R,185,SUI,39.8110882957,W/O,5,R16,,,,,,,,0,,,,,,,,,0,,,9,3958,8,5605
2021-520,Roland Garros,Clay,128,G,20210531,220,104925,1,,Novak Djokovic,R,188,SRB,34.0260095825,126610,9,,Matteo Berrettini,R,196,ITA,25.1334702259,6-3 6-2 6-7(5) 7-5,5,QF,208,10,1,132,92,71,26,21,3,3,11,3,144,94,67,21,20,5,9,1,11313,9,3958
2021-520,Roland Garros,Clay,128,G,20210531,221,104745,3,,Rafael Nadal,L,185,ESP,34.9924709103,106043,10,,Diego Schwartzman,R,170,ARG,28.7885010267,6-3 4-6 6-4 6-0,5,QF,165,6,3,91,60,44,21,18,1,4,3,3,94,59,35,16,17,7,14,3,9630,10,3465
2021-520,Roland Garros,Clay,128,G,20210531,223,126774,5,,Stefanos Tsitsipas,R,193,GRE,22.8008213552,106421,2,,Daniil Medvedev,R,198,RUS,25.3004791239,6-3 7-6(3) 7-5,5,QF,139,3,1,102,66,48,27,17,6,8,5,0,107,72,43,21,16,3,7,5,7500,2,9793
2021-520,Roland Garros,Clay,128,G,20210531,224,104925,1,,Novak Djokovic,R,188,SRB,34.0260095825,104745,3,,Rafael Nadal,L,185,ESP,34.9924709103,3-6 6-3 7-6(4) 6-2,5,SF,251,6,3,133,85,55,24,19,10,16,6,8,133,86,51,19,19,14,22,1,11313,3,9630
2021-520,Roland Garros,Clay,128,G,20210531,225,126774,5,,Stefanos Tsitsipas,R,193,GRE,22.8008213552,100644,6,,Alexander Zverev,R,198,GER,24.1122518823,6-3 6-3 4-6 4-6 6-3,5,SF,217,8,3,138,94,71,23,24,3,6,11,7,142,99,74,17,23,9,14,5,7500,6,6990
2021-520,Roland Garros,Clay,128,G,20210531,226,104925,1,,Novak Djokovic,R,188,SRB,34.0260095825,126774,5,,Stefanos Tsitsipas,R,193,GRE,22.8008213552,6-7(6) 2-6 6-3 6-2 6-4,3,F,251,5,3,134,91,71,23,24,5,8,14,4,177,109,73,34,23,11,16,1,11313,5,7500
2021-540,Wimbledon,Grass,128,G,20210628,226,104925,1,,Novak Djokovic,R,188,SRB,34.1026694045,126610,7,,Matteo Berrettini,R,196,ITA,25.2101300479,6-7(4) 6-4 6-4 6-3,5,F,204,5,4,122,75,59,25,20,5,7,16,3,154,91,69,24,22,9,15,1,12113,9,4468
2021-560,Us Open,Hard,128,G,20210830,220,104925,1,,Novak Djokovic,R,188,SRB,34.2751540041,126610,6,,Matteo Berrettini,R,196,ITA,25.3826146475,5-7 6-2 6-2 6-3,5,QF,207,12,4,117,72,53,30,19,4,5,17,2,147,91,55,28,18,11,16,1,11113,8,5533
2021-560,Us Open,Hard,128,G,20210830,224,104925,1,,Novak Djokovic,R,188,SRB,34.2751540041,100644,4,,Alexander Zverev,R,198,GER,24.3613963039,4-6 6-2 6-4 4-6 6-2,5,SF,214,12,2,150,99,76,22,23,9,12,16,8,124,77,58,23,23,3,9,1,11113,4,8240
2021-560,Us Open,Hard,128,G,20210830,226,106421,2,,Daniil Medvedev,R,198,RUS,25.5496235455,104925,1,,Novak Djokovic,R,188,SRB,34.2751540041,6-4 6-4 6-4,5,F,136,16,9,90,52,42,22,15,5,6,6,3,92,50,40,17,15,4,8,2,9980,1,11113
2021-580,Australian Open,Hard,128,G,20210208,218,126774,5,,Stefanos Tsitsipas,R,193,GRE,22.4941820671,126610,9,,Matteo Berrettini,R,196,ITA,24.8268309377,W/O,5,R16,0,,,,,,,,,,,,,,,,,,,6,5965,10,3345
2021-580,Australian Open,Hard,128,G,20210208,220,104925,1,,Novak Djokovic,R,188,SRB,33.7193702943,100644,6,,Alexander Zverev,R,198,GER,23.8056125941,6-7(6) 6-2 6-4 7-6(6),5,QF,210,23,5,162,119,86,19,21,9,12,21,5,126,81,60,22,21,3,9,1,12030,7,5615
2021-580,Australian Open,Hard,128,G,20210208,222,106421,4,,Daniil Medvedev,R,198,RUS,24.9938398357,126094,7,,Andrey Rublev,R,188,RUS,23.3045859001,7-5 6-3 6-2,5,QF,125,14,4,90,54,43,19,15,4,5,8,3,85,40,25,25,14,6,11,4,8715,8,4429
2021-580,Australian Open,Hard,128,G,20210208,223,126774,5,,Stefanos Tsitsipas,R,193,GRE,22.4941820671,104745,2,,Rafael Nadal,L,185,ESP,34.6858316222,3-6 2-6 7-6(4) 6-4 7-5,5,QF,245,17,0,136,84,66,36,26,1,4,15,2,151,103,80,28,25,3,5,6,5965,2,9850
2021-580,Australian Open,Hard,128,G,20210208,225,106421,4,,Daniil Medvedev,R,198,RUS,24.9938398357,126774,5,,Stefanos Tsitsipas,R,193,GRE,22.4941820671,6-4 6-2 7-5,5,SF,129,17,2,82,56,49,12,15,2,3,3,3,101,70,43,13,15,4,9,4,8715,6,5965
2021-580,Australian Open,Hard,128,G,20210208,226,104925,1,,Novak Djokovic,R,188,SRB,33.7193702943,106421,4,,Daniil Medvedev,R,198,RUS,24.9938398357,7-5 6-2 6-2,5,F,113,3,2,78,52,38,15,14,2,4,6,4,77,49,34,9,14,4,11,1,12030,4,8715
2022-580,Australian Open,Hard,128,G,20220117,222,126774,4,,Stefanos Tsitsipas,R,193,GRE,23.4332648871,206173,11,,Jannik Sinner,R,188,ITA,20.4216290212,6-3 6-4 6-2,5,QF,126,4,2,78,53,42,15,14,0,0,4,1,66,42,30,13,13,0,4,4,6540,10,3390
2022-580,Australian Open,Hard,128,G,20220117,223,106421,2,,Daniil Medvedev,R,198,RUS,25.9329226557,200000,9,,Felix Auger Aliassime,R,193,CAN,21.4428473648,6-7(4) 3-6 7-6(2) 7-5 6-4,5,QF,282,15,9,196,126,94,36,28,9,11,18,4,168,116,91,25,27,2,5,2,8935,9,3608
2022-580,Australian Open,Hard,128,G,20220117,224,104745,6,,Rafael Nadal,L,185,ESP,35.6249144422,126610,7,,Matteo Berrettini,R,196,ITA,25.7659137577,6-3 6-2 3-6 6-3,5,SF,175,5,2,102,70,51,20,18,1,2,14,2,102,68,50,15,17,4,8,5,4875,7,4568
2022-580,Australian Open,Hard,128,G,20220117,225,106421,2,,Daniil Medvedev,R,198,RUS,25.9329226557,126774,4,,Stefanos Tsitsipas,R,193,GRE,23.4332648871,7-6(5) 4-6 6-4 6-1,5,SF,150,13,4,100,71,61,21,20,2,4,5,1,120,83,56,23,19,8,12,2,8935,4,6540
2022-580,Australian Open,Hard,128,G,20220117,226,104745,6,,Rafael Nadal,L,185,ESP,35.6249144422,106421,2,,Daniil Medvedev,R,198,RUS,25.9329226557,2-6 6-7(5) 6-4 6-4 7-5,5,F,324,3,5,189,117,78,34,26,16,22,23,5,182,126,89,23,26,15,22,5,4875,2,8935
2022-0403,Miami Masters,Hard,128,M,20220321,297,128034,8,,Hubert Hurkacz,R,196,POL,25.1033538672,106421,1,,Daniil Medvedev,R,198,RUS,26.1054072553,7-6(7) 6-3,3,QF,123,5,2,64,46,34,11,10,3,4,2,6,94,49,34,22,11,11,14,10,3513,2,8410
2022-0403,Miami Masters,Hard,128,M,20220321,294,134770,6,,Casper Ruud,R,183,NOR,23.2443531828,100644,2,,Alexander Zverev,R,198,GER,24.9171800137,6-3 1-6 6-3,3,QF,98,6,0,63,47,37,10,13,2,4,10,1,66,44,35,12,12,3,5,8,3870,4,7025
2022-0410,Monte Carlo Masters,Clay,64,M,20220411,298,126774,3,,Stefanos Tsitsipas,R,193,GRE,23.6632443532,100644,2,,Alexander Zverev,R,198,GER,24.9746748802,6-4 6-2,3,SF,75,8,1,47,28,21,11,9,2,4,3,4,49,32,17,6,9,3,8,5,5980,3,7195
2022-1536,Madrid Masters,Clay,64,M,20220502,300,207989,7,,Carlos Alcaraz,R,185,ESP,18.9924709103,100644,2,,Alexander Zverev,R,198,GER,25.0321697467,6-3 6-1,3,F,62,1,0,38,27,24,8,8,0,0,3,5,47,31,19,4,8,4,8,9,3818,3,7420
2022-1536,Madrid Masters,Clay,64,M,20220502,299,207989,7,,Carlos Alcaraz,R,185,ESP,18.9924709103,104925,1,,Novak Djokovic,R,188,SRB,34.945927447,6-7(5) 7-5 7-6(5),3,SF,215,4,4,136,91,67,23,18,5,6,8,2,129,86,57,28,18,8,10,9,3818,1,8400
2022-1536,Madrid Masters,Clay,64,M,20220502,298,100644,2,,Alexander Zverev,R,198,GER,25.0321697467,126774,4,,Stefanos Tsitsipas,R,193,GRE,23.7207392197,6-4 3-6 6-2,3,SF,113,4,4,66,48,40,10,13,1,2,1,0,77,43,32,19,14,2,5,3,7420,5,5690
2022-1536,Madrid Masters,Clay,64,M,20220502,296,207989,7,,Carlos Alcaraz,R,185,ESP,18.9924709103,104745,3,,Rafael Nadal,L,185,ESP,35.9123887748,6-2 1-6 6-3,3,QF,148,4,3,70,39,26,16,12,6,9,1,1,74,52,30,13,12,1,5,9,3818,4,6435
2022-1536,Madrid Masters,Clay,64,M,20220502,295,126774,4,,Stefanos Tsitsipas,R,193,GRE,23.7207392197,126094,6,,Andrey Rublev,R,188,RUS,24.5311430527,6-3 2-6 6-4,3,QF,119,10,1,75,48,39,14,14,3,5,5,5,88,47,38,18,13,5,7,5,5690,8,4025
2022-1536,Madrid Masters,Clay,64,M,20220502,294,100644,2,,Alexander Zverev,R,198,GER,25.0321697467,200000,8,,Felix Auger Aliassime,R,193,CAN,21.7303216975,6-3 7-5,3,QF,115,1,9,68,43,32,14,10,3,4,1,1,83,49,32,13,11,6,10,3,7420,10,3625
2022-0416,Rome Masters,Clay,64,M,20220509,300,104925,1,,Novak Djokovic,R,188,SRB,34.9650924025,126774,4,,Stefanos Tsitsipas,R,193,GRE,23.7399041752,6-0 7-6(5),3,F,96,6,1,53,37,30,9,9,1,2,1,1,59,39,25,7,9,2,6,1,8260,5,5750
2022-0416,Rome Masters,Clay,64,M,20220509,299,104925,1,,Novak Djokovic,R,188,SRB,34.9650924025,134770,5,,Casper Ruud,R,183,NOR,23.3785078713,6-4 6-3,3,SF,102,1,1,51,33,23,12,9,0,1,2,0,64,48,29,8,10,5,9,1,8260,10,3760
2022-0416,Rome Masters,Clay,64,M,20220509,298,126774,4,,Stefanos Tsitsipas,R,193,GRE,23.7399041752,100644,2,,Alexander Zverev,R,198,GER,25.0513347023,4-6 6-3 6-3,3,SF,148,3,1,91,55,38,22,14,2,3,5,4,87,56,39,13,14,2,5,5,5750,3,7020
2022-0416,Rome Masters,Clay,64,M,20220509,297,104925,1,,Novak Djokovic,R,188,SRB,34.9650924025,200000,8,,Felix Auger Aliassime,R,193,CAN,21.749486653,7-5 7-6(1),3,QF,129,4,0,75,57,42,11,12,3,5,11,3,75,47,34,12,12,5,8,1,8260,9,3760
